rm_name,rm_type,lat,lng,source,beds,alt_name
Jan Jagriti Pra Vi,school,27.9346,85.2659,OSM infrastructure,,
Ban Devi Pra Vi,school,27.9387,85.2612,OSM infrastructure,,
Shree Jalpa Yuva Pra Vi,school,27.9152,85.2275,OSM infrastructure,,
Jalpa Devi Pra Vi,school,27.9163,85.2407,OSM infrastructure,,
Pancha Kanya Pra Vi,school,27.8954,85.2238,OSM infrastructure,,
Kanya Devi Pra Vi,school,27.8985,85.2333,OSM infrastructure,,
Indrayani Ni Ma Vi,school,27.9043,85.2696,OSM infrastructure,,
Bandevi Pra Vi,school,27.8869,85.2607,OSM infrastructure,,
Shree Shanti Bidhya Pra.Vi.,school,27.8855,85.2842,OSM infrastructure,,
Sansari Pra Vi,school,27.8943,85.3081,OSM infrastructure,,
Shri Mangaladevi Pra.Vi.,school,27.8883,85.3143,OSM infrastructure,,
Gambo Dadha Pra Vi,school,27.9043,85.3542,OSM infrastructure,,
Shree Sundar Kanya Pra.Vi.,school,27.9005,85.3598,OSM infrastructure,,
Chandra Prabha Pra Vi,school,27.9373,85.3089,OSM infrastructure,,
Majuwa Pra Vi,school,27.9013,85.3682,OSM infrastructure,,
Shri Bhume Devi Pra Vi,school,27.9319,85.3145,OSM infrastructure,,
Nawa Prabhat Pra Vi,school,27.9393,85.3719,OSM infrastructure,,
Mahendra Pra Vi,school,27.8959,85.4134,OSM infrastructure,,
Ujjwal Ni Ma Vi,school,27.8998,85.3969,OSM infrastructure,,
Shri Mahadev Ma.Vi,school,27.9119,85.3913,OSM infrastructure,,
Dhaulagiri Pra Vi,school,27.9124,85.4018,OSM infrastructure,,
Shree Dupcheswor Ucha Ma Vi,school,27.9443,85.3885,OSM infrastructure,,
Shri Chana Bhume Pra Vi,school,27.9778,85.3984,OSM infrastructure,,
Shri Nabodhya Pra Vi,school,27.9680,85.3804,OSM infrastructure,,
Shree Chayan Dadha Pra Vi,school,27.9552,85.3863,OSM infrastructure,,
Bachhala Ma V,school,27.9618,85.3955,OSM infrastructure,,
Shree Ghyangphedi Pra Vi,school,27.9767,85.4403,OSM infrastructure,,
Shree Janaki Pra Vi,school,27.9891,85.4501,OSM infrastructure,,
Shree Surya Kunda Pra Vi,school,28.0193,85.4628,OSM infrastructure,,
Shree Mangen Pra Vi,school,27.9903,85.4605,OSM infrastructure,,
Shree Indrayani Pra.Vi.,school,27.9997,85.4463,OSM infrastructure,,
Shri Bhagwan Pra Vi,school,27.9221,85.4059,OSM infrastructure,,
Shree Maple Ni Ma Vi,school,27.9354,85.4570,OSM infrastructure,,
Shri Chandeswari Pra Vi,school,27.9225,85.4160,OSM infrastructure,,
Shri Yashodha Pra.Vi.,school,27.9233,85.4252,OSM infrastructure,,
Shri Bageswari Pra Vi,school,27.9356,85.4496,OSM infrastructure,,
Shri Dhaneswari Pra Vi,school,27.9209,85.4452,OSM infrastructure,,
Shree Birendra Ma Vi,school,27.9296,85.4635,OSM infrastructure,,
Shree Maneswori Pra Vi,school,27.9100,85.4644,OSM infrastructure,,
Shri Jana Sahyogh Pra Vi,school,27.9257,85.4535,OSM infrastructure,,
Shri Himalaya Pra Vi,school,27.9362,85.4782,OSM infrastructure,,
Shri Golphubhanjyang Ma Vi,school,27.9027,85.4785,OSM infrastructure,,
Shri Arjun Pra Vi,school,27.9080,85.4564,OSM infrastructure,,
Shri Mane Dadha Pra Vi,school,27.9494,85.4391,OSM infrastructure,,
Shri Hoimang Manedadha Pra Vi,school,27.9033,85.4544,OSM infrastructure,,
Shri Vumesthan Ni Ma Vi,school,27.9103,85.4377,OSM infrastructure,,
Shri Sundara Pra Vi,school,27.9315,85.4354,OSM infrastructure,,
Shri Nawa Jyoti Pra Vi,school,27.9443,85.3975,OSM infrastructure,,
Shri Saroswati Ma Vi,school,27.9295,85.4053,OSM infrastructure,,
Shri Narayan Pra Vi,school,27.9391,85.4153,OSM infrastructure,,
Shri Nawa Gyan Niketan Pra Vi,school,27.9459,85.4028,OSM infrastructure,,
Shree Bandevi Pra Vi,school,27.8916,85.2116,OSM infrastructure,,
Shree Niranjana Pra.Vi.,school,27.8915,85.2321,OSM infrastructure,,
Shree Sidhi Ganesh Pra Vi,school,27.8828,85.2409,OSM infrastructure,,
Shree Sarwodevi Pra Vi,school,27.8826,85.2276,OSM infrastructure,,
Shree Aarukharka Chaap Pra Vi,school,27.8485,85.2586,OSM infrastructure,,
Shri Namsepuran Pra Vi,school,27.9051,85.4470,OSM infrastructure,,
Shree Rastriya Ma Vi,school,27.8589,85.2517,OSM infrastructure,,
Shr Mahendra Ma Vi,school,27.9055,85.1329,OSM infrastructure,,
Shri Sansari Devi Pra Vi,school,27.9107,85.1194,OSM infrastructure,,
Shree Naya Nepal Pra Vi,school,27.9194,85.1247,OSM infrastructure,,
Shri Tindhare Pipaldanda Ma Vi,school,27.9168,85.1148,OSM infrastructure,,
Shri Bhumesthan Pra Vi,school,27.9126,85.0967,OSM infrastructure,,
Shri Bageshwari Pra V,school,27.9134,85.1102,OSM infrastructure,,
Shri Mulabari Pra Vi,school,27.8972,85.1136,OSM infrastructure,,
Shree Bagha Vairab Pra.Vi,school,27.9168,85.0739,OSM infrastructure,,
Shree Shankhadevi Uchha Ma Vi,school,27.8984,85.0568,OSM infrastructure,,
Shree Bhume Devi Pra Vi,school,27.9126,85.0563,OSM infrastructure,,
Shri Dakschinkali Pra V,school,27.9074,85.0989,OSM infrastructure,,
Shree Bageshwori Ni Ma Vi,school,27.9003,85.0848,OSM infrastructure,,
Shree Bhamara Ni Ma Vi,school,27.8924,85.0806,OSM infrastructure,,
Shree Chakra Devi Pra V,school,27.9155,85.0577,OSM infrastructure,,
Shree Jana Chetana Pra V,school,27.9093,85.0396,OSM infrastructure,,
Shree Dangsing Ma Vi,school,27.9051,85.0386,OSM infrastructure,,
Shree Panchamilan kala devi Ni Ma Vi,school,27.9169,85.0242,OSM infrastructure,,
Shree Chandra Nayan Pra.Vi.,school,27.9091,85.0227,OSM infrastructure,,
Shree Bhanjyangkhadka Pra Vi,school,27.8913,85.0206,OSM infrastructure,,
Shri Hastikeswar Baiyakarna Lilanath Pra Vi,school,27.8772,85.0073,OSM infrastructure,,
Taruka Shri Krishna Campus,school,27.8663,85.0122,OSM infrastructure,,
Shree Raluka Devi Pra Vi,school,27.8861,85.0228,OSM infrastructure,,
Shree Jalpa Devi Nimnamadyamik School,school,27.8984,85.0394,OSM infrastructure,,
Shree Shilasita Pra.Vi.,school,27.8354,85.1293,OSM infrastructure,,
Shree Gaudeshwor Primary School,school,27.9188,85.0455,OSM infrastructure,,
Shree Saraswoti Prarthmik School,school,27.9184,85.0325,OSM infrastructure,,
Shri Pipal Danda Secondary School,school,27.8892,85.0006,OSM infrastructure,,
Shri Namuna Janajagriti Pra Vi,school,27.8686,85.0067,OSM infrastructure,,
Shree Chandi Ma. Bi.,school,27.8700,85.0420,OSM infrastructure,,
Shree Saraswoti Ni Ma Vi,school,27.8771,85.0218,OSM infrastructure,,
Shree Annapurna Pra Bi,school,27.8671,85.0495,OSM infrastructure,,
Shree Chakreswor Pra Bi,school,27.8711,85.0570,OSM infrastructure,,
Shri Seti Devi Pra Bi,school,27.8625,85.0874,OSM infrastructure,,
Shree Utpaneswor Pra Bi,school,27.8366,85.0802,OSM infrastructure,,
Shri Raktakali Primary School,school,27.8730,85.1315,OSM infrastructure,,
Shree Malika Madyamik School,school,27.8305,85.0800,OSM infrastructure,,
Shree Gaulingeshwor Ma.Vi.,school,27.8108,85.0691,OSM infrastructure,,
Shree Bandevi Ni Ma Bi,school,27.7973,85.0743,OSM infrastructure,,
Shree Nepal Ghedung Pra Bi,school,27.8261,85.0745,OSM infrastructure,,
Shree Kalyanidevi Higher Secondary School,school,27.8493,85.1069,OSM infrastructure,,
Shree Bageswori Pra Bi,school,27.8486,85.0991,OSM infrastructure,,
Shri Janasewa Lower Secondary School,school,27.8537,85.0897,OSM infrastructure,,
Shree Dhandakharka Pra.Vi.,school,27.9018,85.0227,OSM infrastructure,,
Shri Tarkeshwar Pra.Vi.,school,27.8979,84.9999,OSM infrastructure,,
Shri Gorakhnath Ni. Ma.Vi.,school,27.8732,85.0060,OSM infrastructure,,
Shri Ganeshman Singh Memorial Primary School,school,27.8491,85.0277,OSM infrastructure,,
Shree B.P.Smriti Pra.Vi.,school,27.8650,85.0007,OSM infrastructure,,
Shri Shahid Prashansha Pra Vi.,school,27.8527,85.0051,OSM infrastructure,,
Shree Vaisnabee Pra Bi,school,27.8660,85.0793,OSM infrastructure,,
Shree Bhairab Kunda Pra Bi,school,27.8426,85.0389,OSM infrastructure,,
Shri Chandi Ni.Ma.Vi.,school,27.8576,85.0806,OSM infrastructure,,
Shree Pimaltar Uchcha Ma.Vi.,school,27.8390,85.0193,OSM infrastructure,,
Shree Ujjwal Tara Pra. Vi.,school,27.8243,85.1163,OSM infrastructure,,
Shree Mahamaya Ni.Ma.Vi.,school,27.8466,85.1320,OSM infrastructure,,
Shree Mahadev Ni.Ma.Vi.,school,27.8315,85.1154,OSM infrastructure,,
Shree Janasahabhagita Pra.Vi.,school,27.8424,85.1202,OSM infrastructure,,
Shree Jana Sahayogi Pra. Vi.,school,27.8384,85.0983,OSM infrastructure,,
Shree Panchase Ma.Vi.,school,27.8139,85.0937,OSM infrastructure,,
Shree Tilakeshwor Prastabit Ni.Ma.Vi.,school,27.8126,85.1095,OSM infrastructure,,
Mahadev Multiple Campus,school,27.8523,85.0603,OSM infrastructure,,
Shree Balkumari Pra.Vi.,school,27.8395,85.1411,OSM infrastructure,,
Shri NawaDurga Bhawani Ni.Ma. Vi,school,27.8303,85.2108,OSM infrastructure,,
Shree Panchkanya Raktakali Pra Vi,school,27.8250,85.2017,OSM infrastructure,,
Kumari Namuna Campus,school,27.7775,85.1564,OSM infrastructure,,
Shree Bindukeshar Uchha Ma V,school,27.9541,85.0118,OSM infrastructure,,
Shree Gram Sewa Bidyashram Uchha Ma V,school,27.9475,85.0481,OSM infrastructure,,
Shree Devisthan Pra V,school,27.9748,85.0336,OSM infrastructure,,
Shree Chakradevi Pra V,school,27.9407,85.0189,OSM infrastructure,,
Shree Bhairabi Devi Pra V,school,27.9389,85.0262,OSM infrastructure,,
Shree Bajradevi Pra V,school,27.9446,85.0430,OSM infrastructure,,
Shree Rastriya Pra V,school,27.9451,85.0672,OSM infrastructure,,
Shree Sundara Devi Pra V,school,27.9558,85.0319,OSM infrastructure,,
Shree Dhaneshwori Pra V,school,27.9573,85.0604,OSM infrastructure,,
Shree Vai Jayanti Sikshya Niketan Ni Ma V,school,27.9672,85.0431,OSM infrastructure,,
Shree Jana Samudayik Pra V,school,27.8426,85.0637,OSM infrastructure,,
Shri Saptakanya Pra V,school,27.9431,85.2941,OSM infrastructure,,
Shree Arukharka Ma V,school,27.8130,85.1755,OSM infrastructure,,
Shree Sahanti Bidhya Pra V,school,27.8224,85.1513,OSM infrastructure,,
Shree Belkot Bhanjyang Ma V,school,27.8091,85.1572,OSM infrastructure,,
Shree Mandredhunga Pra V,school,27.8865,85.1299,OSM infrastructure,,
Shri Birendra Ma V,school,27.8894,85.1015,OSM infrastructure,,
Shri Sundaradevi Pra V,school,27.8844,85.1084,OSM infrastructure,,
Shree Gaurikharka Ni Ma V,school,27.7928,85.1897,OSM infrastructure,,
Shree Bageshwori Pra V,school,27.7766,85.1982,OSM infrastructure,,
Shree Kalika Ma V,school,27.7859,85.1829,OSM infrastructure,,
Shree Maneghang Pra V,school,27.8001,85.1819,OSM infrastructure,,
Shree Mangala Devi Pra V,school,27.7990,85.2070,OSM infrastructure,,
Shree Navshrijanshil Pra.Vi.,school,27.7812,85.2069,OSM infrastructure,,
Shree Dudhe Devi Pra V,school,27.9445,85.2896,OSM infrastructure,,
Shree Indreshwor Ni Ma V,school,27.8289,85.0457,OSM infrastructure,,
Shree Ganesh Sthan Pra V,school,27.8297,85.0320,OSM infrastructure,,
Shree Mahadev Uchha Ma V,school,27.8105,85.0141,OSM infrastructure,,
Shree Ganesh Ba.Bi. Kendra,school,27.8422,85.0550,OSM infrastructure,,
Shree Saraswati Ni.Ma.Vi,school,27.8472,85.0762,OSM infrastructure,,
Shree Bhumedevi Pra V,school,27.8842,85.0506,OSM infrastructure,,
Shree Nawa Jyoti Pra V,school,27.8813,85.0712,OSM infrastructure,,
Shri Kalyan Pra V,school,27.9433,85.1057,OSM infrastructure,,
Shree Nila Saraswati Ni Ma V,school,27.8945,85.0649,OSM infrastructure,,
Shri Bageshwari Ni Ma V,school,27.9331,85.0882,OSM infrastructure,,
Shri Sundaradevi Pra V,school,27.9478,85.0860,OSM infrastructure,,
Shri Pragatishil Pra V,school,27.9327,85.0970,OSM infrastructure,,
Shri Kalika Pra V,school,27.9425,85.0937,OSM infrastructure,,
Shree Kanya Devi Ni Ma V,school,27.9462,85.1176,OSM infrastructure,,
Shree Ajingare Uchha Ma V,school,27.9347,85.1192,OSM infrastructure,,
Shri Srijana Pra V,school,27.9395,85.0957,OSM infrastructure,,
Shri Srijanshil Pra V,school,27.9299,85.1104,OSM infrastructure,,
Shree Bag Bachhala Mahadev Pra V,school,27.8957,85.0922,OSM infrastructure,,
Shri Jalapadevi Pra V,school,27.8723,85.1039,OSM infrastructure,,
Shri Chandeshwari Pra V,school,27.8777,85.0904,OSM infrastructure,,
Shree Pokhari Ni Ma V,school,27.7926,85.1308,OSM infrastructure,,
Shree Shramik Ni Ma V,school,27.7776,85.1676,OSM infrastructure,,
Shree Laxmishwori Ma V,school,27.7836,85.1266,OSM infrastructure,,
Shree Nawa Jyoti Ni Ma V,school,27.7768,85.1211,OSM infrastructure,,
Shree Bikas Ni Ma V,school,27.7940,85.1010,OSM infrastructure,,
Shree Khaniyakharka Ni Ma V,school,27.7877,85.1707,OSM infrastructure,,
Shree Chitmare Ni Ma V,school,27.7946,85.1478,OSM infrastructure,,
Shree Ganesh Pra V,school,27.7759,85.1374,OSM infrastructure,,
Shree Krishna Pra V,school,27.7851,85.1367,OSM infrastructure,,
Shri Chandeswori Pra V,school,27.9519,85.3022,OSM infrastructure,,
Shree Dhude Devi Ni Ma V,school,27.9615,85.2938,OSM infrastructure,,
Shree Kalika Devi Pra V,school,27.9464,85.2905,OSM infrastructure,,
श्री नवजीवन प्राथमिक विद्यालय,school,27.8383,85.2006,OSM infrastructure,,
Shree Shiladevi Pra. Vi.,school,27.8741,85.2056,OSM infrastructure,,
Shree Bhrikuti Ma. Vi.,school,27.8713,85.1666,OSM infrastructure,,
Shree Parijat Pra.Vi.,school,27.9409,85.1349,OSM infrastructure,,
Shree Kalika Ni.Ma.Vi,school,27.8342,85.1667,OSM infrastructure,,
Shree Trishuli Pra.Vi.,school,27.9447,85.1503,OSM infrastructure,,
Shree Saraswoti Pra.Vi.,school,27.8593,85.1562,OSM infrastructure,,
Shri United Ni.Ma.Vi.,school,27.8995,85.1438,OSM infrastructure,,
Shri Mahalaxmi Pra.Vi.,school,27.8863,85.1367,OSM infrastructure,,
Shree Ganesh Surya Pra.V,school,27.8865,85.1771,OSM infrastructure,,
Shree Kalika Devi Pra Vi,school,27.8721,85.2455,OSM infrastructure,,
Shree Siddhi Ganesh Pra Vi,school,27.8574,85.2755,OSM infrastructure,,
Shree Lamagaun Primary School,school,27.8440,85.2377,OSM infrastructure,,
Shree Bachchala Ni Ma Vi,school,27.8703,85.3405,OSM infrastructure,,
Shree Shrijanshil Bal Bikas Kentra,school,27.8779,85.3472,OSM infrastructure,,
Shree Nepane Pra Vi,school,27.8703,85.3825,OSM infrastructure,,
Shree Amar Pra Vi,school,27.8353,85.2924,OSM infrastructure,,
Shree Sundara PRA Vi,school,27.8739,85.2963,OSM infrastructure,,
Shree Jalpa Devi Ni Ma Vi,school,27.8638,85.3817,OSM infrastructure,,
Shri Mahendra Uchha Ma Vi,school,27.8616,85.3957,OSM infrastructure,,
Shri Garwasi Lower Secondary School,school,27.8157,85.2015,OSM infrastructure,,
Shree Jana Chetana Bal Bikas kendra,school,27.8627,85.2341,OSM infrastructure,,
Shree Birendra Primary School,school,27.8464,85.2664,OSM infrastructure,,
Shree kshetrapal Lower Secondary School,school,27.8678,85.2353,OSM infrastructure,,
Shree Sundaradevi Pra Vi,school,27.9763,85.1770,OSM infrastructure,,
Shree Sundara Devi English School,school,27.9719,85.1713,OSM infrastructure,,
Shree Durgam Tara Pra Vi,school,28.0852,85.1454,OSM infrastructure,,
Shri Nuchet Pra Vi,school,28.0179,85.1286,OSM infrastructure,,
Shri kalika Bhume Pra Vi,school,28.0373,85.0932,OSM infrastructure,,
Shree Mahakali Pra Vi,school,27.9374,85.1828,OSM infrastructure,,
Shree Chetana Primary School,school,27.9619,85.1714,OSM infrastructure,,
Shree Siddheshwor Pra Vi,school,27.9494,85.1951,OSM infrastructure,,
Shree Shanti kalyan Ni Ma Vi,school,27.9549,85.2129,OSM infrastructure,,
Shree Bachchala Devi Ma Vi,school,27.9665,85.1562,OSM infrastructure,,
Shree Lachyang Pra Vi,school,27.9627,85.2873,OSM infrastructure,,
Shree Mangala Devi Ni Ma Vi,school,27.9541,85.2738,OSM infrastructure,,
Nergu Bhumi Pra Vi,school,27.9700,85.3055,OSM infrastructure,,
Shri Bigyan Uchha Ma Vi,school,27.9347,85.2890,OSM infrastructure,,
Jana Kalyan Pra. Vi.,school,27.9228,85.2942,OSM infrastructure,,
Shree Nawa Prakash Secondary School,school,27.8953,85.1955,OSM infrastructure,,
Shree Shakti Pra Vi,school,27.8788,85.2095,OSM infrastructure,,
Shree Mahendra Uchha Ma Vi,school,27.8594,85.2651,OSM infrastructure,,
Shree Arunodaya Lower Secondary School,school,27.8506,85.2456,OSM infrastructure,,
Shri Dupcheswori Pra Vi,school,27.8690,85.3141,OSM infrastructure,,
Shri Namaruna Devi Pra Vi,school,27.8827,85.2983,OSM infrastructure,,
हिमालय उपचार केन्द्र,hospital,27.7292,85.3707,OSM + Healthsites,,
केईसी इंस्टिट्यूट,school,27.7031,85.3219,OSM infrastructure,,
रेडवुड एजुकेशन नेटवर्क,school,27.7170,85.3336,OSM infrastructure,,
वेब स्कुल,school,27.7167,85.3817,OSM infrastructure,,
,school,27.7035,85.3304,OSM infrastructure,,
मुनलाईट विद्यालय,school,27.7348,85.3592,OSM infrastructure,,
Shree Gairi Gau Ni Ma Vi,school,27.8945,84.9063,OSM infrastructure,,
Shree Gauri Shankar Ma VI,school,27.8790,84.9537,OSM infrastructure,,
अक्षर एकेडेमी,school,27.7018,85.3333,OSM infrastructure,,
अक्षर एकेडेमी,school,27.7018,85.3329,OSM infrastructure,,
जुगल अंग्रेजी बोर्डिङ विद्यालय,school,27.7326,85.3565,OSM infrastructure,,
पाइलन एकेडेमी,school,27.7396,85.3370,OSM infrastructure,,
नमुना अध्यायन मन्टेश्वरी विद्यालय,school,27.7192,85.2592,OSM infrastructure,,
नमुना अध्यायन मन्टेश्वरी विद्यालय,school,27.7195,85.2595,OSM infrastructure,,
बिनायक अस्पताल,hospital,27.7351,85.3130,OSM + Healthsites,,
स्काइफल शैक्षिक परामर्श,school,27.7055,85.3230,OSM infrastructure,,
नेपाल पाथफाईन्दर कोएड,school,27.7031,85.3459,OSM infrastructure,,
,school,27.8210,84.9936,OSM infrastructure,,
Maha Saraswoti Niketan,school,27.7580,85.2794,OSM infrastructure,,
,school,27.7178,85.1630,OSM infrastructure,,
माया एनिमेसन एकेडेमी,school,27.7092,85.3149,OSM infrastructure,,
योग एकेडेमी केन्द्र,school,27.7266,85.2770,OSM infrastructure,,
,hospital,27.9874,85.2456,OSM + Healthsites,,
Rasuwa District Hospital,hospital,28.1104,85.2965,OSM + Healthsites,,
Shree Rasuwa Secondary School,school,28.1128,85.2953,OSM infrastructure,,
Highland HS School,school,28.1114,85.2997,OSM infrastructure,,
,school,27.7688,85.2983,OSM infrastructure,,
,school,27.7922,85.4208,OSM infrastructure,,
,school,27.7053,85.3219,OSM infrastructure,,
ग्यालेक्सी पब्लिक विद्यालय,school,27.7083,85.3304,OSM infrastructure,,
दक्षिण एसियाली पोलिक्लिनिक तथा निदान केन्द्र,hospital,27.7391,85.3262,OSM + Healthsites,,
साउथवेस्टर्न स्टेट विद्यालय,school,27.7364,85.3219,OSM infrastructure,,
मरिई स्टोप्स नेपाल,hospital,27.7348,85.3174,OSM + Healthsites,,
वेलनेस हस्पिटल प्रा. लि.,hospital,27.7424,85.3379,OSM + Healthsites,,
सहारा मन्टेश्वरी विद्यालय,school,27.7289,85.3638,OSM infrastructure,,
एलिम एकेडेमी,school,27.7401,85.3359,OSM infrastructure,,
सर्कोङ दोर्जी चाङ एकेडेमी,school,27.7142,85.2876,OSM infrastructure,,
,school,27.7082,85.3317,OSM infrastructure,,
गीतांजली उच्च माध्यमिक विद्यालय,school,27.7192,85.3049,OSM infrastructure,,
श्री बाल बयाबासाये केन्द्र माध्यमिक विद्यालय,school,27.7119,85.3409,OSM infrastructure,,
ह्वावे अन्तर्राष्ट्रिय अस्पताल,hospital,27.7130,85.3453,OSM + Healthsites,,
नर्थ पोल एकेडेमी,school,27.7508,85.3153,OSM infrastructure,,
हिमालय विद्यालय मन्दिर,school,27.7102,85.3388,OSM infrastructure,,
पाराडाईज अन्तर्राष्ट्रिय एकेडेमी,school,27.7136,85.3396,OSM infrastructure,,
,school,27.9968,85.2045,OSM infrastructure,,
प्यारागन विद्यालय,school,27.7016,85.3501,OSM infrastructure,,
महेन्द्र नारायण निधि मेमोरियल अस्पताल,hospital,27.7375,85.3253,OSM + Healthsites,,
Himalayan Boarding High School,school,27.7766,85.3618,OSM infrastructure,,
,school,27.7758,85.3615,OSM infrastructure,,
Himalaya Boarding School,school,27.7765,85.3617,OSM infrastructure,,
,school,27.8331,84.9917,OSM infrastructure,,
,school,27.7014,85.3721,OSM infrastructure,,
विद्यासंस्कार विद्यालय,school,27.7347,85.3798,OSM infrastructure,,
,hospital,27.7177,85.3111,OSM + Healthsites,,
डोल्गिरि उच्च माध्यमिक विद्यालय,school,27.7157,85.4268,OSM infrastructure,,
चम्पक विद्यापीठ,school,27.7171,85.4300,OSM infrastructure,,
Shri Sana Kisan Sahakari Secondary School,school,27.7389,85.2091,OSM infrastructure,,
Bindukeshar Basic School,school,27.9566,84.9985,OSM infrastructure,,
Sunkanya Basic School,school,27.9589,84.9530,OSM infrastructure,,
,school,27.9936,84.9204,OSM infrastructure,,
Katunje Health Post,hospital,27.9776,84.9300,OSM + Healthsites,,
Pujari Dada Khop Kendra,hospital,27.9695,84.9336,OSM + Healthsites,,
Umesh Pharmacy,hospital,27.9729,84.9222,OSM + Healthsites,,
Rip Bal Jyoti School,school,27.9845,84.9337,OSM infrastructure,,
Mahabirchuli Boarding School,school,27.9733,84.9293,OSM infrastructure,,
Bibek Medical,hospital,27.9724,84.9226,OSM + Healthsites,,
Child Care School,school,27.9811,84.9992,OSM infrastructure,,
,school,27.9886,84.9226,OSM infrastructure,,
चे हाई स्कुल,school,27.7215,85.3038,OSM infrastructure,,
गीताञ‍्जली एकेडेमी,school,27.7222,85.3030,OSM infrastructure,,
Family Beauty Parlour and Therapy Centre Pvt. Ltd.,hospital,27.7118,85.3097,OSM + Healthsites,,
क्रिश्चियन सामुदायिक विद्यालय,school,27.7047,85.3914,OSM infrastructure,,
Pachakanya Basic School,school,28.0300,84.9654,OSM infrastructure,,
,school,27.9026,85.1467,OSM infrastructure,,
,school,27.7217,85.3871,OSM infrastructure,,
श्री पशुपति माध्यमिक विद्यालय,school,27.7162,85.3459,OSM infrastructure,,
,hospital,27.9938,85.2035,OSM + Healthsites,,
Morgan International School,school,27.7566,85.3345,OSM infrastructure,,
तारापुञ्‍ज अंग्रेजी बोर्डिङ् स्कुल,school,27.7220,85.3384,OSM infrastructure,,
काठमाडौं ग्लोबल विद्यालय,school,27.7364,85.3218,OSM infrastructure,,
मैत्री सामुदायिक अस्पताल,hospital,27.7269,85.3451,OSM + Healthsites,,
ए.पि.एस. स्कुल,school,27.7418,85.3223,OSM infrastructure,,
,school,27.9647,85.1694,OSM infrastructure,,
मेट्रो अस्पताल,hospital,27.7398,85.3371,OSM + Healthsites,,
स्वास्थ्य चौकी,hospital,28.0186,85.7868,OSM + Healthsites,,
करुणा अस्पताल,hospital,27.7513,85.3625,OSM + Healthsites,,
हिमाली आवासीय विद्यालय,school,27.7032,85.3488,OSM infrastructure,,
,school,27.7475,85.6184,OSM infrastructure,,
,school,27.7883,85.2655,OSM infrastructure,,
,school,27.8994,85.2048,OSM infrastructure,,
,school,27.8429,85.2372,OSM infrastructure,,
Shree Nabin Gram Sikshya Mandir Secondary School,school,27.7620,85.5195,OSM infrastructure,,
,school,27.9197,85.3847,OSM infrastructure,,
,school,27.7888,85.5004,OSM infrastructure,,
om school,school,27.7802,85.3669,OSM infrastructure,,
Bal Bikash Samaj Adharbut Bidhayala,school,27.7903,85.3420,OSM infrastructure,,
,hospital,27.7541,85.8296,OSM + Healthsites,,
मूनलाइट स्कूल,school,27.7371,85.3414,OSM infrastructure,,
,school,27.8558,85.3232,OSM infrastructure,,
यन्त्र हाउस,school,27.7255,85.3589,OSM infrastructure,,
Linga Learning Institute,school,27.7102,85.3109,OSM infrastructure,,
Mahakali Secondary School,school,27.7141,85.5763,OSM infrastructure,,
Shree Sankhadevi Ma. Vi.,school,27.8822,84.9464,OSM infrastructure,,
सेन्ट लरेन्स विद्यालय,school,27.7146,85.3475,OSM infrastructure,,
सब्दालय नेपाल,school,27.7143,85.3430,OSM infrastructure,,
बिश्व शिक्षा सदन,school,27.7175,85.3498,OSM infrastructure,,
मनास्लु विश्व विद्यालय,school,27.7413,85.4217,OSM infrastructure,,
श्रीति विद्यालय,school,27.7188,85.3567,OSM infrastructure,,
मिसन पब्लिक विद्यालय,school,27.7189,85.3569,OSM infrastructure,,
जेभियर इन्टरनेशनल मोन्टेस्सोरी विद्यालय,school,27.7186,85.3566,OSM infrastructure,,
लारनिंग ट्री विद्यालय,school,27.7232,85.3597,OSM infrastructure,,
इम्पाओररिङ्ग एसिया,school,27.7165,85.3351,OSM infrastructure,,
मल्पी सिटी विद्यालय,school,27.7127,85.3295,OSM infrastructure,,
संकटा प्राथमिक विद्यालय,school,27.7019,85.3120,OSM infrastructure,,
महानकल माध्यमिक विद्यालय,school,27.7059,85.3121,OSM infrastructure,,
Sundarijal Swastha Chauki,hospital,27.7728,85.4291,OSM + Healthsites,,
The Rising Village Higher Secondary School,school,27.7991,84.9946,OSM infrastructure,,
Shiva Darshan Hospital,hospital,27.7351,85.1330,OSM + Healthsites,,
एन्जिलको विश्व अन्तर्राष्ट्रिय एकेडेमी,school,27.7389,85.3309,OSM infrastructure,,
काठमाडौं जीवन ज्योति अस्पताल,hospital,27.7182,85.3490,OSM + Healthsites,,
सानो पाठशाला मोन्टेसरी,school,27.7498,85.3365,OSM infrastructure,,
बी बज डे केयर स्कुल,school,27.7465,85.3345,OSM infrastructure,,
स्मृति मोन्टेस्सोरी पूर्व विद्यालय,school,27.7465,85.3390,OSM infrastructure,,
मिल्सबेरी स्कूल,school,27.7496,85.3406,OSM infrastructure,,
माउन्ट ओलम्पस स्कूल,school,27.7474,85.3362,OSM infrastructure,,
स्प्रिङभिल पूर्व विद्यालय,school,27.7459,85.3352,OSM infrastructure,,
बि.एन. एकेडेमी,school,27.7444,85.3312,OSM infrastructure,,
जेस्ट स्कूल,school,27.7408,85.3322,OSM infrastructure,,
लिबर्टी माध्यमिक विद्यालय,school,27.7398,85.3302,OSM infrastructure,,
ओरिएण्ट विद्यालय,school,27.7407,85.3303,OSM infrastructure,,
बालकुञ्ज एकेडेमी,school,27.7460,85.3354,OSM infrastructure,,
University School,school,27.7456,85.3337,OSM infrastructure,,
साउथवेस्टर्न स्टेट कलेज,school,27.7394,85.3255,OSM infrastructure,,
