rm_id,rm_name,dt,tiles_baseline,tiles_lost,pct_without_coverage
79688334B17077666187877,Nuwakot,2026-09-03_0000,207,2,0.0097
79688334B45086844065391,Sindhupalchok,2026-09-03_0000,221,11,0.0498
79688334B4770070965791,Makawanpur,2026-09-03_0000,306,20,0.0654
79688334B50883418539268,Rasuwa,2026-09-03_0000,67,0,0.0
79688334B6633706619717,Kabherepalanchok,2026-09-03_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-09-03_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-09-03_0000,201,6,0.0299
79688334B89468852374463,Bhaktapur,2026-09-03_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-03_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-09-04_0000,207,1,0.0048
79688334B45086844065391,Sindhupalchok,2026-09-04_0000,221,14,0.0633
79688334B4770070965791,Makawanpur,2026-09-04_0000,306,14,0.0458
79688334B50883418539268,Rasuwa,2026-09-04_0000,67,0,0.0
79688334B6633706619717,Kabherepalanchok,2026-09-04_0000,202,8,0.0396
79688334B75108943206003,Kathmandu,2026-09-04_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-09-04_0000,201,4,0.0199
79688334B89468852374463,Bhaktapur,2026-09-04_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-04_0000,206,1,0.0049
79688334B17077666187877,Nuwakot,2026-09-05_0000,207,0,0.0
79688334B45086844065391,Sindhupalchok,2026-09-05_0000,221,1,0.0045
79688334B4770070965791,Makawanpur,2026-09-05_0000,306,9,0.0294
79688334B50883418539268,Rasuwa,2026-09-05_0000,67,7,0.1045
79688334B6633706619717,Kabherepalanchok,2026-09-05_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-09-05_0000,90,0,0.0
79688334B79703604543181,Dhading,2026-09-05_0000,201,3,0.0149
79688334B89468852374463,Bhaktapur,2026-09-05_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-05_0000,206,1,0.0049
79688334B17077666187877,Nuwakot,2026-09-06_0000,207,1,0.0048
79688334B45086844065391,Sindhupalchok,2026-09-06_0000,221,7,0.0317
79688334B4770070965791,Makawanpur,2026-09-06_0000,306,9,0.0294
79688334B50883418539268,Rasuwa,2026-09-06_0000,67,7,0.1045
79688334B6633706619717,Kabherepalanchok,2026-09-06_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-09-06_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-09-06_0000,201,4,0.0199
79688334B89468852374463,Bhaktapur,2026-09-06_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-06_0000,206,1,0.0049
