rm_id,rm_name,dt,tiles_baseline,tiles_lost,pct_without_coverage
79688334B17077666187877,Nuwakot,2026-08-26_0000,207,19,0.0918
79688334B45086844065391,Sindhupalchok,2026-08-26_0000,221,4,0.0181
79688334B4770070965791,Makawanpur,2026-08-26_0000,306,9,0.0294
79688334B50883418539268,Rasuwa,2026-08-26_0000,67,18,0.2687
79688334B6633706619717,Kabherepalanchok,2026-08-26_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-08-26_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-26_0000,201,15,0.0746
79688334B89468852374463,Bhaktapur,2026-08-26_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-26_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-08-27_0000,207,27,0.1304
79688334B45086844065391,Sindhupalchok,2026-08-27_0000,221,5,0.0226
79688334B4770070965791,Makawanpur,2026-08-27_0000,306,9,0.0294
79688334B50883418539268,Rasuwa,2026-08-27_0000,67,34,0.5075
79688334B6633706619717,Kabherepalanchok,2026-08-27_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-08-27_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-27_0000,201,11,0.0547
79688334B89468852374463,Bhaktapur,2026-08-27_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-27_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-08-28_0000,207,15,0.0725
79688334B45086844065391,Sindhupalchok,2026-08-28_0000,221,13,0.0588
79688334B4770070965791,Makawanpur,2026-08-28_0000,306,12,0.0392
79688334B50883418539268,Rasuwa,2026-08-28_0000,67,22,0.3284
79688334B6633706619717,Kabherepalanchok,2026-08-28_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-08-28_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-28_0000,201,8,0.0398
79688334B89468852374463,Bhaktapur,2026-08-28_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-28_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-08-29_0000,207,11,0.0531
79688334B45086844065391,Sindhupalchok,2026-08-29_0000,221,7,0.0317
79688334B4770070965791,Makawanpur,2026-08-29_0000,306,9,0.0294
79688334B50883418539268,Rasuwa,2026-08-29_0000,67,17,0.2537
79688334B6633706619717,Kabherepalanchok,2026-08-29_0000,202,0,0.0
79688334B75108943206003,Kathmandu,2026-08-29_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-29_0000,201,9,0.0448
79688334B89468852374463,Bhaktapur,2026-08-29_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-29_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-08-30_0000,207,13,0.0628
79688334B45086844065391,Sindhupalchok,2026-08-30_0000,221,1,0.0045
79688334B4770070965791,Makawanpur,2026-08-30_0000,306,13,0.0425
79688334B50883418539268,Rasuwa,2026-08-30_0000,67,7,0.1045
79688334B6633706619717,Kabherepalanchok,2026-08-30_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-08-30_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-30_0000,201,11,0.0547
79688334B89468852374463,Bhaktapur,2026-08-30_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-30_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-08-31_0000,207,10,0.0483
79688334B45086844065391,Sindhupalchok,2026-08-31_0000,221,7,0.0317
79688334B4770070965791,Makawanpur,2026-08-31_0000,306,14,0.0458
79688334B50883418539268,Rasuwa,2026-08-31_0000,67,1,0.0149
79688334B6633706619717,Kabherepalanchok,2026-08-31_0000,202,0,0.0
79688334B75108943206003,Kathmandu,2026-08-31_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-08-31_0000,201,7,0.0348
79688334B89468852374463,Bhaktapur,2026-08-31_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-31_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-09-01_0000,207,9,0.0435
79688334B45086844065391,Sindhupalchok,2026-09-01_0000,221,11,0.0498
79688334B4770070965791,Makawanpur,2026-09-01_0000,306,8,0.0261
79688334B50883418539268,Rasuwa,2026-09-01_0000,67,1,0.0149
79688334B6633706619717,Kabherepalanchok,2026-09-01_0000,202,1,0.005
79688334B75108943206003,Kathmandu,2026-09-01_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-09-01_0000,201,16,0.0796
79688334B89468852374463,Bhaktapur,2026-09-01_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-01_0000,206,2,0.0097
79688334B17077666187877,Nuwakot,2026-09-02_0000,207,7,0.0338
79688334B45086844065391,Sindhupalchok,2026-09-02_0000,221,11,0.0498
79688334B4770070965791,Makawanpur,2026-09-02_0000,306,4,0.0131
79688334B50883418539268,Rasuwa,2026-09-02_0000,67,1,0.0149
79688334B6633706619717,Kabherepalanchok,2026-09-02_0000,202,0,0.0
79688334B75108943206003,Kathmandu,2026-09-02_0000,90,1,0.0111
79688334B79703604543181,Dhading,2026-09-02_0000,201,5,0.0249
79688334B89468852374463,Bhaktapur,2026-09-02_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-09-02_0000,206,2,0.0097
