gauge_id,lat,lng,warningThreshold,dangerThreshold,extremeDangerThreshold,gaugeValueUnit,v_2026-08-24T00:00:00Z,v_2026-08-25T00:00:00Z,v_2026-08-26T00:00:00Z,v_2026-08-27T00:00:00Z,v_2026-08-28T00:00:00Z,v_2026-08-29T00:00:00Z,v_2026-08-30T00:00:00Z,v_2026-08-31T00:00:00Z,v_2026-09-01T00:00:00Z,v_2026-09-02T00:00:00Z,v_2026-09-03T00:00:00Z
hybas_4121459880,28.2729,85.2604,25.60,29.31,33.38,CUBIC_METERS_PER_SECOND,19.73,18.35,19.75,18.96,18.44,19.03,19.20,19.17,21.36,20.47,19.73
hybas_4121462230,28.0896,85.0062,87.55,94.96,102.55,CUBIC_METERS_PER_SECOND,64.02,61.84,69.64,66.15,64.88,67.61,67.08,67.73,71.31,70.23,68.38
hybas_4120839010,27.7104,85.6646,201.43,221.28,246.79,CUBIC_METERS_PER_SECOND,127.20,126.60,144.38,134.07,131.41,148.51,145.07,145.75,149.01,145.74,143.49
hybas_4120833490,27.8646,85.1104,590.59,671.31,757.59,CUBIC_METERS_PER_SECOND,430.93,417.57,452.39,444.89,450.62,461.91,463.43,467.32,468.75,457.05,448.84
hybas_4120832500,27.8979,85.2312,43.24,49.85,56.60,CUBIC_METERS_PER_SECOND,21.99,21.83,23.28,22.05,21.52,22.81,22.79,23.80,24.31,23.94,23.45
hybas_4120815830,28.4479,84.9021,231.22,265.90,302.35,CUBIC_METERS_PER_SECOND,172.36,160.48,167.92,173.43,174.66,185.87,189.70,191.18,188.36,174.91,169.32
hybas_4120824950,28.1687,85.3437,309.10,345.30,381.08,CUBIC_METERS_PER_SECOND,209.85,203.79,214.50,206.54,202.88,224.13,216.86,224.30,228.65,215.13,211.52
hybas_4121459550,28.2937,84.9062,441.20,500.10,562.07,CUBIC_METERS_PER_SECOND,266.56,251.61,274.33,281.97,275.73,300.85,308.64,309.78,312.23,297.87,287.93
hybas_4120838820,27.7146,85.6729,29.90,35.56,42.68,CUBIC_METERS_PER_SECOND,15.95,15.65,17.30,15.94,15.05,17.25,17.61,18.48,19.01,18.70,18.61
hybas_4120837540,27.7521,85.0562,30.30,37.57,46.24,CUBIC_METERS_PER_SECOND,14.32,13.86,14.99,13.69,13.54,15.05,15.53,16.72,17.58,16.56,16.32
hybas_4120830670,27.9771,85.1812,523.51,589.59,658.78,CUBIC_METERS_PER_SECOND,402.56,386.31,419.56,414.21,422.85,431.38,432.76,436.76,437.39,418.39,418.91
hybas_4120834420,27.8354,85.5729,61.60,68.67,75.76,CUBIC_METERS_PER_SECOND,44.59,43.69,49.69,45.92,44.55,49.85,49.14,51.03,50.46,49.17,49.66
hybas_4121460650,28.2104,85.6687,26.32,29.85,34.05,CUBIC_METERS_PER_SECOND,17.01,16.34,18.04,17.63,17.52,18.22,16.60,16.57,16.40,16.48,15.90
hybas_4120825270,28.1604,85.3479,103.08,115.84,131.57,CUBIC_METERS_PER_SECOND,64.39,60.02,66.08,63.56,62.54,66.66,68.45,67.43,68.67,67.82,65.89
hybas_4121463120,28.0312,84.9646,110.10,119.23,128.00,CUBIC_METERS_PER_SECOND,82.04,79.12,91.66,84.58,83.95,87.49,88.31,89.27,92.72,91.85,88.37
hybas_4121462520,28.0687,85.7521,37.65,41.64,46.97,CUBIC_METERS_PER_SECOND,23.14,21.79,25.38,26.20,23.75,25.23,26.57,26.88,26.79,26.41,25.63
hybas_4121465680,27.8479,85.7687,146.85,166.62,190.90,CUBIC_METERS_PER_SECOND,78.90,77.81,87.03,84.22,80.70,87.40,87.67,89.08,91.23,91.54,91.79
hybas_4120830680,27.9771,85.1896,31.07,35.83,41.53,CUBIC_METERS_PER_SECOND,18.02,16.72,18.05,17.26,16.71,18.11,19.69,20.66,21.17,21.15,20.76
hybas_4120824370,28.1854,85.3437,258.27,291.64,323.40,CUBIC_METERS_PER_SECOND,181.05,175.66,187.71,179.39,179.67,200.80,196.54,202.97,207.39,193.40,192.17
hybas_4121463910,27.9729,85.5354,29.40,36.13,44.85,CUBIC_METERS_PER_SECOND,18.40,18.11,20.19,19.10,18.72,19.60,20.68,22.36,22.89,22.92,22.56
hybas_4120835410,27.8062,85.0062,852.87,979.40,1123.29,CUBIC_METERS_PER_SECOND,561.58,534.10,599.10,585.89,567.21,622.11,633.69,649.06,663.49,644.34,635.52
hybas_4120824170,28.1937,85.0771,22.48,24.40,26.29,CUBIC_METERS_PER_SECOND,16.54,15.64,17.49,16.37,16.25,16.87,17.03,17.82,18.70,18.01,17.14
hybas_4120819380,28.3396,85.4437,35.61,41.05,47.31,CUBIC_METERS_PER_SECOND,22.73,21.21,22.48,21.84,21.53,23.93,23.70,24.80,23.91,22.90,22.26
hybas_4120821280,28.2812,85.3729,135.51,158.97,182.42,CUBIC_METERS_PER_SECOND,101.91,92.91,95.23,96.28,94.11,103.87,108.02,108.72,109.23,105.10,100.51
hybas_4120835730,27.7979,85.0062,81.39,101.46,124.06,CUBIC_METERS_PER_SECOND,37.30,36.47,37.36,36.35,33.12,35.44,36.23,41.49,44.02,43.31,43.52
hybas_4120830700,27.9771,85.6396,33.87,41.16,50.82,CUBIC_METERS_PER_SECOND,19.99,19.98,22.76,20.94,19.15,21.56,21.93,22.82,23.38,23.00,23.17
hybas_4120838220,27.7354,85.7854,376.22,427.47,491.64,CUBIC_METERS_PER_SECOND,243.00,234.48,254.52,251.49,243.61,260.96,280.80,280.11,284.52,281.39,275.60
hybas_4121460790,28.1979,85.5854,43.01,49.94,58.66,CUBIC_METERS_PER_SECOND,27.20,25.48,27.92,27.33,27.87,26.91,28.13,28.69,29.18,28.49,26.59
hybas_4121460850,28.1937,85.4521,71.71,82.62,95.84,CUBIC_METERS_PER_SECOND,43.24,40.28,43.51,42.79,41.71,43.98,44.68,46.76,47.11,45.79,44.41
hybas_4121463550,27.9979,85.7896,57.45,63.58,71.41,CUBIC_METERS_PER_SECOND,35.14,34.02,38.06,36.38,35.27,36.29,37.58,38.21,38.68,38.74,38.13
hybas_4120827620,28.0771,85.2146,466.93,520.08,575.04,CUBIC_METERS_PER_SECOND,342.64,335.67,353.59,339.54,342.23,355.45,357.63,368.51,366.93,348.21,339.01
hybas_4121466100,27.8062,84.9062,990.67,1135.42,1290.10,CUBIC_METERS_PER_SECOND,643.24,603.33,665.65,663.09,648.98,717.41,738.35,743.23,747.73,727.14,717.99
hybas_4120821290,28.2812,85.3812,93.86,106.35,119.23,CUBIC_METERS_PER_SECOND,56.80,53.14,56.03,54.57,53.25,59.37,60.10,65.32,61.95,59.62,57.15
hybas_4121464600,27.9229,85.3854,44.83,52.05,60.53,CUBIC_METERS_PER_SECOND,25.34,24.78,28.08,25.43,24.65,27.47,28.01,28.02,29.58,28.63,28.33
hybas_4121464160,27.9521,85.7896,101.76,115.72,134.81,CUBIC_METERS_PER_SECOND,56.98,55.35,62.69,61.37,58.13,62.41,62.97,64.41,66.01,65.68,66.37
hybas_4120832310,27.9062,85.2312,94.17,105.76,118.30,CUBIC_METERS_PER_SECOND,51.93,53.03,60.49,54.78,55.42,62.92,64.20,64.36,66.29,64.55,62.73
hybas_4121458930,28.3396,84.9021,401.34,458.16,523.04,CUBIC_METERS_PER_SECOND,251.16,237.32,255.19,265.56,257.78,280.90,289.86,290.98,289.46,274.22,268.94
hybas_4120833730,27.8562,85.1146,170.18,189.94,212.39,CUBIC_METERS_PER_SECOND,93.74,92.49,100.78,95.23,93.23,103.09,104.04,106.76,110.37,109.04,107.81
hybas_4120835140,27.8146,85.0146,802.92,920.17,1047.39,CUBIC_METERS_PER_SECOND,535.98,513.70,577.37,567.32,543.26,584.64,594.22,608.46,619.96,602.91,594.08
hybas_4120834320,27.8396,85.5812,90.87,100.63,109.88,CUBIC_METERS_PER_SECOND,55.19,54.11,61.25,57.38,55.21,62.06,63.48,65.61,66.85,64.89,63.71
