dt,date_time,start_lon,start_lat,end_lon,end_lat,percent_change,n_crisis,n_baseline,length_km
2026-08-26_0800,2026-08-26 08:00:00,85.572509765625,27.71270982724965,85.572509765625,27.71270982724965,6.45,32.0,30.0,1.0131527334793077e-13
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.374755859375,27.751607253506148,-26.03,35.0,47.666666666666664,2.1624086602752115
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.352783203125,27.71270982724965,-5.88,95.0,101.0,3.058653456753713
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.396728515625,27.751607253506148,8.58,77.0,70.83333333333333,3.0581076727125147
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.352783203125,27.69325590965681,-33.82,14.0,21.666666666666668,4.836587005803816
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.308837890625,27.732160275740252,20.0,25.0,20.666666666666668,6.4878049783218845
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.374755859375,27.71270982724965,-1.83,196.0,199.66666666666663,2.16279458785999
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.396728515625,27.732160275740252,-1.56,136.0,138.16666666666666,2.1626016823979852
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.330810546875,27.732160275740252,16.78,28.0,23.833333333333332,4.325203347577014
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.374755859375,27.732160275740252,6.13,8618.0,8120.166666666667,1.67670491015947e-13
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.352783203125,27.751607253506148,-15.68,25.0,29.833333333333332,3.058107672711629
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.330810546875,27.673798524586132,0.0,12.0,12.0,7.799457392222397
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.308837890625,27.71270982724965,2.37,35.0,34.166666666666664,6.839357015772618
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.330810546875,27.69325590965681,28.57,23.0,17.666666666666668,6.117852418086977
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.35278320312501,27.65433767366391,-8.33,10.0,11.0,8.919815497579801
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.352783203125,27.732160275740252,-2.41,208.0,213.16666666666663,2.162601682396733
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.33081054687501,27.751607253506148,-9.3,12.0,13.333333333333334,4.835292789530111
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.396728515625,27.71270982724965,9.63,54.0,49.166666666666664,3.0586534567545987
2026-08-26_0800,2026-08-26 08:00:00,85.22094726562501,27.751607253506148,85.22094726562501,27.751607253506148,28.23,52.0,40.333333333333336,3.608553671315128e-14
2026-08-26_0800,2026-08-26 08:00:00,85.770263671875,27.790490790383224,85.770263671875,27.790490790383224,69.01,19.0,10.833333333333334,2.1366837619491137e-14
2026-08-26_0800,2026-08-26 08:00:00,85.550537109375,27.926473604009228,85.550537109375,27.926473604009228,20.0,35.0,29.0,2.0222549497249037e-15
2026-08-26_0800,2026-08-26 08:00:00,85.770263671875,27.732160275740252,85.770263671875,27.732160275740252,35.37,57.0,41.84473164508637,1.67670491015947e-13
2026-08-26_0800,2026-08-26 08:00:00,85.616455078125,27.771050758926727,85.616455078125,27.771050758926727,22.63,27.0,21.833333333333332,1.2207854514058405e-13
2026-08-26_0800,2026-08-26 08:00:00,85.682373046875,27.771050758926727,85.682373046875,27.771050758926727,9.09,11.0,10.0,1.2207854514058405e-13
2026-08-26_0800,2026-08-26 08:00:00,85.572509765625,27.80992734625884,85.572509765625,27.80992734625884,9.09,15.0,13.666666666666666,1.0595237556502103e-13
2026-08-26_0800,2026-08-26 08:00:00,85.26489257812499,27.751607253506148,85.26489257812499,27.751607253506148,17.72,61.0,51.666666666666664,3.608553671315128e-14
2026-08-26_0800,2026-08-26 08:00:00,85.462646484375,27.71270982724965,85.462646484375,27.71270982724965,7.35,128.0,119.16666666666669,1.0131527334793077e-13
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.35278320312499,27.673798524586132,10.92,21.0,18.833333333333332,6.840576658797489
2026-08-26_0800,2026-08-26 08:00:00,85.74829101562499,27.771050758926727,85.74829101562499,27.771050758926727,0.0,10.0,10.0,1.2207854514058405e-13
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.418701171875,27.732160275740252,12.5,20.0,17.666666666666668,4.325203347578266
2026-08-26_0800,2026-08-26 08:00:00,85.374755859375,27.732160275740252,85.33081054687499,27.71270982724965,15.56,25.0,21.5,4.836155749909007
2026-08-26_0800,2026-08-26 08:00:00,85.35278320312499,27.673798524586132,85.286865234375,27.71270982724965,15.38,19.0,16.333333333333332,7.8001526909402
2026-08-26_0800,2026-08-26 08:00:00,85.35278320312499,27.673798524586132,85.352783203125,27.732160275740252,-5.75,40.0,42.5,6.489540824477468
2026-08-26_0800,2026-08-26 08:00:00,85.35278320312499,27.673798524586132,85.308837890625,27.751607253506148,0.0,22.0,22.0,9.673173569497914
2026-08-26_0800,2026-08-26 08:00:00,85.35278320312499,27.673798524586132,85.352783203125,27.751607253506148,0.8,20.0,19.833333333333332,8.65194948475281
2026-08-26_0800,2026-08-26 08:00:00,85.35278320312499,27.673798524586132,85.33081054687499,27.71270982724965,35.11,58.0,42.666666666666664,4.837449360776031
