lon,lat,2026-08-26_0000,2026-08-26_0800,2026-08-26_1600,2026-08-27_0000,2026-08-27_0800,2026-08-27_1600,2026-08-28_0000,2026-08-28_0800,2026-08-28_1600,2026-08-29_0000,2026-08-29_0800,2026-08-29_1600,2026-08-30_0000,2026-08-30_0800,2026-08-30_1600,2026-08-31_0000,2026-08-31_0800,2026-08-31_1600,2026-09-01_0000,2026-09-01_0800,2026-09-01_1600,2026-09-02_0000,2026-09-02_0800,2026-09-02_1600,2026-09-03_0000,2026-09-03_0800,2026-09-03_1600,2026-09-04_0000,2026-09-04_0800,2026-09-04_1600,2026-09-05_0000,2026-09-05_0800,2026-09-05_1600,2026-09-06_0000,2026-09-06_0800,2026-09-06_1600
84.957275,27.809927,-57.57,-63.09,-63.29,-63.92,-35.09,-47.38,-42.64,-39.99,-37.67,-34.91,-36.03,-43.11,-25.76,-20.87,-23.88,-24.63,-33.08,-35.35,-19.27,-34.3,-21.6,-23.68,-18.15,-18.43,-26.5,-19.87,-21.34,-26.51,-23.67,-20.17,-21.56,-22.21,-22.27,-17.12,-31.99,-12.61
84.957275,27.82936,-57.72,-56.09,,-57.43,-42.65,-44.35,-44.15,-39.8,-27.53,-32.91,-48.04,-42.13,-16.8,-10.48,,-22.57,-31.55,-20.45,,-21.67,-11.23,-13.17,,,-16.95,-13.01,,-17.45,-17.3,,,,-15.44,,-24.35,
84.957275,27.84879,,,,,,,,,,,,,,,-10.07,-24.35,,,,,,,,,-25.57,,,,,,,,,,,
84.957275,27.868216,,,,-13.83,,,,-11.88,19.49,-13.64,,,,21.15,30.66,23.56,,11.84,15.72,,12.6,25.33,,10.82,,,17.47,15.56,,11.38,12.4,-16.18,,,,
84.957275,27.887639,,,,,,,19.7,,13.49,,,,,11.67,,,,13.83,16.59,,,,,,,,,24.1,,,,,,,,
84.957275,27.907058,-14.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.957275,27.926474,,,,,,,,,,,,,,,,,,,-12.62,,,,,,,,,28.74,,,,,,,,
84.957275,28.004101,-26.12,,,-16.7,,,,,,,,,-19.92,,-10.99,,,-14.88,-26.51,,,-10.47,-10.13,-13.84,,,-14.15,-20.63,,,-16.18,,,,,-15.81
84.957275,28.0235,,,,-10.22,,,,,,,,,-14.0,,,,,,-12.34,,,,,,-16.28,,,,,,,,,-11.81,,
84.957275,28.062286,,,,,,,,,,,,,,,,,,,,,,,,13.91,,,,,,,,,,-13.12,,
84.957275,28.081673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.54,,,,,
84.979248,27.771051,,,,,,,-11.63,,,12.74,-18.8,-15.76,,,,26.8,-17.04,-23.07,,-16.62,,,,,,,,,,,,,,,-14.55,
84.979248,27.790491,-17.16,-16.49,-19.25,-10.11,,,-17.34,-14.96,-12.41,,,-19.38,,,,,-18.26,-17.58,,-13.78,,,,,,,,,,,,-10.68,,,-14.44,
84.979248,27.809927,-39.74,-53.02,-51.72,-43.11,-32.46,-40.54,-39.67,-34.26,-29.65,-24.23,-32.34,-38.75,-17.93,-27.23,-30.61,,-27.82,-37.68,-18.12,-30.95,-24.71,-14.37,-14.91,,-19.42,-12.7,,,,,,-13.52,-12.82,,-17.85,
84.979248,27.82936,,,,,,,,,,,,,,,,,,,,,,95.45,,,,,,,,,,,,,,
84.979248,27.84879,,,,,,,,,,,,,,,,,,,-23.52,,,,,,-10.03,,,15.32,,,21.15,,,,,
84.979248,27.868216,,,,,,,,,,,,,,,,,,,,,,22.36,,,-10.7,,15.07,19.65,,,,,,,,
84.979248,27.887639,,,,-23.65,,,-22.73,,,-21.55,,-14.47,-24.78,,-11.91,,,,-16.19,,-11.04,,,,-12.08,,,,,,,,,,,-15.77
84.979248,27.907058,,,,,,,-28.58,,,,,,,,,,,,,,,,,16.43,-17.61,,11.2,,,,-10.44,,,,,
84.979248,27.926474,,,,,,,,,,,,,,,,-30.65,,-27.85,,,,,,,-23.17,-16.48,-17.3,,,-27.12,-16.77,,-10.64,-13.17,,-31.05
84.979248,27.965294,,,,,,,,,,,,,,,,-18.99,,,,,,-14.94,,,,,,,,,,,,,,
84.979248,27.9847,,,,,,,,,,,,,,,,-23.01,-13.38,-19.33,-17.8,,-13.87,-27.1,-16.51,-27.84,-26.35,-20.43,-23.04,-25.84,-17.8,,-25.07,-13.38,-11.71,-15.44,,-12.48
84.979248,28.042894,,,,,,,,,-17.67,,,-15.53,,,,10.34,,,,,,,10.53,15.02,10.65,,,-10.24,,,,,16.68,10.52,,20.91
84.979248,28.062286,,,,,,,-36.15,,-23.12,,,-34.15,-39.11,,-28.7,-11.52,-29.12,,-21.5,,-27.33,,-15.13,,,,-15.88,-12.71,,,,-15.82,,,,-10.9
84.979248,28.081673,,,,,,,,,,,,,,,,,,,-22.13,,,,,,,,,-16.12,,,-12.84,,,-14.33,,-12.46
85.001221,27.751607,,,11.12,19.67,,,,,17.42,12.47,,,,,12.53,,,,,,,11.82,,,,,,-16.43,,,,,,,,
85.001221,27.771051,,-10.59,,14.86,,,,-12.75,11.76,10.13,-22.61,-11.48,,,,12.39,-24.21,-17.74,,-16.23,,,,,,-11.05,-11.62,,-16.9,,,-17.07,,,-16.18,
85.001221,27.790491,,,,17.11,,,,-13.56,,17.38,,,18.49,-11.55,,15.24,-18.32,,,-12.14,,,,,,,,,-10.46,,,-15.38,,,-14.11,
85.001221,27.809927,-14.28,,,,,,,,15.18,,,,17.34,,,10.87,-19.38,-13.84,,-12.23,,15.2,,10.22,10.93,,,15.34,,12.47,21.11,,15.62,17.24,,
85.001221,27.82936,-37.93,,-30.96,-35.24,-24.9,-31.82,-27.57,,-18.11,-28.71,-22.58,-28.65,-14.49,-26.28,-21.52,,-33.04,-29.23,,-23.73,-11.83,,,,,-17.75,,,,,14.75,,,,-14.59,
85.001221,27.84879,,,,,,,,,,,,,,,,,,,,,,-22.35,-20.17,13.73,,-15.81,,12.55,,,10.81,,-19.23,,-20.51,
85.001221,27.868216,,,,,,,,,,,,,,,,,,,,,,-33.41,,,,-33.1,,16.97,13.02,,,-19.04,-15.07,,-39.63,
85.001221,27.887639,,,,,,,,,,,,,,,,,,,,,,-31.72,,,,-17.79,-10.24,,,,12.04,-23.92,,,,
85.001221,27.907058,,,,,,,,,,,,,,,,,,,-15.78,,,,,,,,-16.13,,,,-13.43,,,-17.33,,
85.001221,27.926474,,,,,,,,,,,,,,,-24.43,-47.12,,-32.9,-21.64,,-13.08,,-27.32,-15.22,-19.26,-19.47,,-11.0,,-27.43,-12.33,,-12.93,,,-23.08
85.001221,27.945886,,,,,,,,,,,,,,,,-28.93,,-20.01,-22.87,,,,,,,-19.91,,-15.88,-17.36,-32.93,-18.08,-22.7,,-10.42,,
85.001221,27.965294,,,,,,,,,,,,,-41.36,,,-23.45,,-17.28,-15.4,-10.22,,,,,,,,-14.71,-11.53,-21.4,-18.53,-17.14,,-16.58,,
85.001221,27.9847,,,,,,,,,,,,,-53.99,,-33.4,-19.3,,,-11.0,,,-15.29,,,-18.53,-10.42,-18.76,-20.46,-16.19,,-11.26,-18.6,,-15.44,-31.29,-19.05
85.001221,28.0235,,,,,,,,,,,,,-25.48,,-16.25,10.98,,-10.24,12.44,-18.81,,,,17.39,16.54,,,-11.91,,13.82,22.33,,26.74,,,11.29
85.001221,28.042894,,,,-23.77,-31.75,-21.57,-25.47,,-18.28,-32.88,,-16.33,-20.96,-30.69,,26.63,,,12.05,-16.24,,,,24.35,18.41,,,,,16.38,25.27,14.61,38.23,11.06,,30.74
85.001221,28.062286,,,,-46.07,-39.82,-30.41,-42.07,-47.96,-25.09,-37.33,,-26.08,-25.98,,-17.54,,,,,-32.9,13.8,,,12.15,16.16,,11.72,12.49,10.78,,23.63,12.99,26.31,,,
85.001221,28.081673,,,,,,,,,,,,,,,,,,,,,,,,,13.85,,,,,,,,,,,
85.023193,27.73216,,-11.87,,10.77,,,14.14,,,14.73,,-22.88,,,,,,-15.01,,-13.27,,,,,-17.08,,-11.84,,-15.84,,-17.89,,-21.77,-14.23,,-15.9
85.023193,27.751607,,-23.44,10.48,10.57,,,,,,12.4,-34.61,-15.51,,,,,-28.02,,,-27.11,,,-12.42,,,-22.88,-13.24,,-18.65,,,-16.82,-10.16,,-14.68,
85.023193,27.771051,,-36.38,,14.84,-15.57,,,-17.67,,,-30.68,,,-18.66,,,-30.54,-10.79,,-21.81,,,-22.66,,,-25.26,-13.68,-13.73,-29.61,,,-23.21,,,-16.25,
85.023193,27.790491,-10.15,-23.53,,,-11.3,,,-15.99,,,-20.29,,,-12.87,,,-20.9,-14.09,,-18.22,,,,,,-14.05,,,-17.73,,,-22.52,,,-22.79,
85.023193,27.809927,-30.25,-32.4,-27.68,-19.37,-33.13,-28.29,-23.95,-29.8,-26.21,-25.31,-31.06,-16.99,,,-11.0,,-30.54,-24.47,,-23.14,,,,,,-11.8,,,,,,-12.75,,,-10.26,
85.023193,27.82936,-61.42,-58.97,-61.08,-47.86,-55.4,-48.89,-49.0,-42.07,-51.25,-51.71,-45.35,-42.13,-33.8,-31.51,-27.26,-27.72,-46.23,-47.96,-32.74,-43.72,-29.41,-20.08,-24.31,-19.32,-19.88,-27.32,,,-16.03,-14.45,,,,,-12.36,
85.023193,27.84879,,,,,,,,,,-71.0,,,-66.63,,-62.8,-64.87,,,-67.98,,,-54.88,-32.26,-25.88,-17.79,-38.33,-14.31,-21.87,-23.2,-18.06,-17.03,-23.39,-21.2,-33.6,-37.06,-28.56
85.023193,27.868216,,,,,,,,,,,,,,,,,,,,,,-46.84,,-34.25,-24.1,,-28.46,,-18.45,-29.6,-21.47,,-22.51,-32.69,,-27.65
85.023193,27.887639,,,,,,,,,,,,,,,,,,,,,,-34.21,,,-20.32,,,,,,,,,-32.67,,
85.023193,27.907058,,,,,,,,,,,,,,,,,,,-30.15,-13.59,11.77,15.53,-20.85,,,,-16.96,,-17.92,,,,,,-14.3,
85.023193,27.926474,,,,,,,,,,,,,,,,,,,-20.94,,,13.09,-12.18,,17.47,,,,,-12.08,,,,,,
85.023193,27.945886,,,,,,,,,,,,,,,,,,,-12.28,,,,-11.72,-10.26,,,,,,-20.38,-13.7,,-12.66,,,
