dt,date_time,start_lon,start_lat,end_lon,end_lat,percent_change,n_crisis,n_baseline,length_km
2026-08-26_0800,2026-08-26 08:00:00,85.308837890625,27.73216027574025,85.33081054687499,27.71270982724965,-2.24,79.0,80.83333333333333,3.058653456752828
2026-08-26_0800,2026-08-26 08:00:00,85.528564453125,27.907057935466664,85.528564453125,27.907057935466664,2.27,14.0,13.666666666666666,5.816231754836267e-14
2026-08-26_0800,2026-08-26 08:00:00,85.286865234375,27.67379852458613,85.308837890625,27.71270982724965,-2.5,25.0,25.666666666666668,4.837449360776031
2026-08-26_0800,2026-08-26 08:00:00,85.286865234375,27.67379852458613,85.308837890625,27.73216027574025,-14.29,12.0,14.166666666666666,6.8405766587968495
2026-08-26_0800,2026-08-26 08:00:00,85.286865234375,27.67379852458613,85.28686523437501,27.73216027574025,7.87,15.0,13.833333333333334,6.489540824477468
2026-08-26_0800,2026-08-26 08:00:00,85.286865234375,27.67379852458613,85.33081054687499,27.71270982724965,-16.28,11.0,13.333333333333334,6.118943220471615
2026-08-26_0800,2026-08-26 08:00:00,85.594482421875,27.829360424938628,85.594482421875,27.829360424938628,22.45,29.0,23.5,5.538235803950223e-15
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.308837890625,27.73216027574025,31.51,15.0,11.166666666666666,7.7987621852124915
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.418701171875,27.71270982724965,36.0,16.0,11.5,4.83701830686473
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.33081054687499,27.71270982724965,5.88,23.0,21.666666666666668,4.83701830687033
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.308837890625,27.751607253506148,-2.94,10.0,10.333333333333334,9.175960017779838
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.352783203125,27.71270982724965,-3.36,23.0,23.83333333333333,3.0591989856563977
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.396728515625,27.71270982724965,12.96,76.0,67.16666666666667,3.059198985653741
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.374755859375,27.73216027574025,-14.29,12.0,14.166666666666666,4.3259749228953055
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.374755859375,27.71270982724965,7.92,142.0,131.5,2.163180335035057
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.308837890625,27.71270982724965,16.67,41.0,35.0,6.840576855580014
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.374755859375,27.751607253506148,-14.74,26.0,30.666666666666668,6.1167611051183925
2026-08-26_0800,2026-08-26 08:00:00,85.37475585937501,27.69325590965681,85.33081054687501,27.751607253506148,-4.35,10.0,10.5,7.798066561201221
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.462646484375,27.654337673663917,15.07,13.0,11.166666666666666,14.513640361168951
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.264892578125,27.69325590965681,8.1,148.0,136.83333333333334,6.84057685557648
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.264892578125,27.73216027574025,20.0,17.0,14.0,6.83935701577145
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.330810546875,27.654337673663917,7.73,164.0,152.16666666666666,6.490697523913854
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.286865234375,27.67379852458613,23.26,105.0,85.0,6.118943220471525
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.352783203125,27.69325590965681,1.37,344.0,339.3333333333333,3.0591989856575905
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.24291992187501,27.67379852458613,-20.33,31.0,39.16666666666666,9.674898613142254
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.30883789062501,27.790490790383224,8.33,12.0,11.0,8.915042954881965
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.33081054687499,27.71270982724965,6.72,11339.0,10625.166666666666,1.0131527334793077e-13
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.308837890625,27.771050758926727,-2.04,47.0,48.0,6.838136409357153
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.37475585937499,27.67379852458613,1.01,200.0,198.0,6.118943220473297
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.374755859375,27.654337673663917,12.3,104.0,92.5,7.800847571996917
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.396728515625,27.67379852458613,3.75,105.0,101.16666666666669,7.800152690943234
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.352783203125,27.771050758926727,14.18,148.0,129.5,6.838136409358737
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.418701171875,27.654337673663917,-7.38,22.0,23.83333333333333,10.817829077398294
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.352783203125,27.615405580779363,42.86,29.0,20.0,11.034028908787931
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.33081054687501,27.751607253506148,10.05,300.0,272.5,4.3252032481350495
2026-08-26_0800,2026-08-26 08:00:00,85.33081054687499,27.71270982724965,85.440673828125,27.67379852458613,-12.58,43.0,49.333333333333336,11.650120540695983
